area,year,percent
Barking and Dagenham,2012/13,85
Barnet,2012/13,96
Bexley,2012/13,96
Brent,2012/13,94
Bromley,2012/13,94
Camden,2012/13,92
Croydon,2012/13,89
Ealing,2012/13,93
Enfield,2012/13,95
Greenwich,2012/13,95
Hackney,2012/13,93
Hammersmith and Fulham,2012/13,91
Haringey,2012/13,93
Harrow,2012/13,97
Havering,2012/13,92
Hillingdon,2012/13,92
Hounslow,2012/13,90
Islington,2012/13,93
Kensington and Chelsea,2012/13,92
Kingston upon Thames,2012/13,94
Lambeth,2012/13,96
Lewisham,2012/13,95
Merton,2012/13,91
Newham,2012/13,94
Redbridge,2012/13,92
Richmond upon Thames,2012/13,96
Southwark,2012/13,93
Sutton,2012/13,93
Tower Hamlets,2012/13,95
Waltham Forest,2012/13,94
Wandsworth,2012/13,96
Westminster,2012/13,92
London,2012/13,93
Barking and Dagenham,2013/14,92
Barnet,2013/14,96
Bexley,2013/14,96
Brent,2013/14,96
Bromley,2013/14,97
Camden,2013/14,93
Croydon,2013/14,95
Ealing,2013/14,94
Enfield,2013/14,95
Greenwich,2013/14,97
Hackney,2013/14,93
Hammersmith and Fulham,2013/14,91
Haringey,2013/14,92
Harrow,2013/14,97
Havering,2013/14,97
Hillingdon,2013/14,94
Hounslow,2013/14,91
Islington,2013/14,95
Kensington and Chelsea,2013/14,94
Kingston upon Thames,2013/14,98
Lambeth,2013/14,94
Lewisham,2013/14,97
Merton,2013/14,94
Newham,2013/14,98
Redbridge,2013/14,95
Richmond upon Thames,2013/14,93
Southwark,2013/14,95
Sutton,2013/14,94
Tower Hamlets,2013/14,96
Waltham Forest,2013/14,97
Wandsworth,2013/14,92
Westminster,2013/14,96
London,2013/14,95
Barking and Dagenham,2014/15,84
Barnet,2014/15,94
Bexley,2014/15,93
Brent,2014/15,90
Bromley,2014/15,94
Camden,2014/15,93
Croydon,2014/15,94
Ealing,2014/15,92
Enfield,2014/15,88
Greenwich,2014/15,92
Hackney,2014/15,95
Hammersmith and Fulham,2014/15,91
Haringey,2014/15,93
Harrow,2014/15,94
Havering,2014/15,84
Hillingdon,2014/15,91
Hounslow,2014/15,91
Islington,2014/15,96
Kensington and Chelsea,2014/15,92
Kingston upon Thames,2014/15,96
Lambeth,2014/15,94
Lewisham,2014/15,96
Merton,2014/15,96
Newham,2014/15,91
Redbridge,2014/15,91
Richmond upon Thames,2014/15,93
Southwark,2014/15,95
Sutton,2014/15,96
Tower Hamlets,2014/15,92
Waltham Forest,2014/15,94
Wandsworth,2014/15,98
Westminster,2014/15,94
London,2014/15,93
Barking and Dagenham,2015/16,78
Barnet,2015/16,88
Bexley,2015/16,89
Brent,2015/16,89
Bromley,2015/16,93
Camden,2015/16,93
Croydon,2015/16,96
Ealing,2015/16,91
Enfield,2015/16,82
Greenwich,2015/16,95
Hackney,2015/16,89
Hammersmith and Fulham,2015/16,94
Haringey,2015/16,88
Harrow,2015/16,87
Havering,2015/16,91
Hillingdon,2015/16,91
Hounslow,2015/16,90
Islington,2015/16,93
Kensington and Chelsea,2015/16,96
Kingston upon Thames,2015/16,96
Lambeth,2015/16,94
Lewisham,2015/16,96
Merton,2015/16,95
Newham,2015/16,93
Redbridge,2015/16,88
Richmond upon Thames,2015/16,98
Southwark,2015/16,96
Sutton,2015/16,95
Tower Hamlets,2015/16,94
Waltham Forest,2015/16,88
Wandsworth,2015/16,97
Westminster,2015/16,95
London,2015/16,92
Barking and Dagenham,2016/17,82
Barnet,2016/17,91
Bexley,2016/17,91
Brent,2016/17,87
Bromley,2016/17,97
Camden,2016/17,95
Croydon,2016/17,92
Ealing,2016/17,94
Enfield,2016/17,85
Greenwich,2016/17,94
Hackney,2016/17,93
Hammersmith and Fulham,2016/17,98
Haringey,2016/17,88
Harrow,2016/17,88
Havering,2016/17,86
Hillingdon,2016/17,86
Hounslow,2016/17,89
Islington,2016/17,93
Kensington and Chelsea,2016/17,97
Kingston upon Thames,2016/17,93
Lambeth,2016/17,96
Lewisham,2016/17,91
Merton,2016/17,94
Newham,2016/17,81
Redbridge,2016/17,86
Richmond upon Thames,2016/17,94
Southwark,2016/17,94
Sutton,2016/17,93
Tower Hamlets,2016/17,95
Waltham Forest,2016/17,84
Wandsworth,2016/17,95
Westminster,2016/17,98
London,2016/17,91
Barking and Dagenham,2017/18,85
Barnet,2017/18,91
Bexley,2017/18,83
Brent,2017/18,89
Bromley,2017/18,83
Camden,2017/18,95
Croydon,2017/18,92
Ealing,2017/18,93
Enfield,2017/18,86
Greenwich,2017/18,94
Hackney,2017/18,94
Hammersmith and Fulham,2017/18,97
Haringey,2017/18,85
Harrow,2017/18,89
Havering,2017/18,87
Hillingdon,2017/18,87
Hounslow,2017/18,89
Islington,2017/18,95
Kensington and Chelsea,2017/18,96
Kingston upon Thames,2017/18,94
Lambeth,2017/18,95
Lewisham,2017/18,96
Merton,2017/18,95
Newham,2017/18,96
Redbridge,2017/18,88
Richmond upon Thames,2017/18,97
Southwark,2017/18,98
Sutton,2017/18,92
Tower Hamlets,2017/18,96
Waltham Forest,2017/18,89
Wandsworth,2017/18,96
Westminster,2017/18,96
London,2017/18,91
Barking and Dagenham,2018/19,84
Barnet,2018/19,92
Bexley,2018/19,84
Brent,2018/19,90
Bromley,2018/19,94
Camden,2018/19,95
Croydon,2018/19,92
Ealing,2018/19,91
Enfield,2018/19,85
Greenwich,2018/19,93
Hackney,2018/19,94
Hammersmith and Fulham,2018/19,91
Haringey,2018/19,85
Harrow,2018/19,90
Havering,2018/19,87
Hillingdon,2018/19,88
Hounslow,2018/19,92
Islington,2018/19,96
Kensington and Chelsea,2018/19,99
Kingston upon Thames,2018/19,96
Lambeth,2018/19,97
Lewisham,2018/19,95
Merton,2018/19,96
Newham,2018/19,96
Redbridge,2018/19,92
Richmond upon Thames,2018/19,95
Southwark,2018/19,97
Sutton,2018/19,94
Tower Hamlets,2018/19,96
Waltham Forest,2018/19,88
Wandsworth,2018/19,97
Westminster,2018/19,95
London,2018/19,92
